구분,국립공원관리번호,공원사무소코드,분류코드,일련번호,시작점_ID,종점_ID,사용여부,지리정보시스템 상 거리(m),난이도,쉐입거리(Shape_Leng),경도,위도
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787379,35.07337992
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787194,35.07332683
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787136,35.07328708
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787409,35.07322299
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788312,35.07313783
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9789553,35.07302572
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.979004,35.07297706
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9790255,35.07293623
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9790113,35.07287764
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9789597,35.07276595
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.978916,35.07263281
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788945,35.07248138
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788816,35.07238745
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788452,35.07211172
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788037,35.07194261
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787685,35.07173538
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787671,35.0715917
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787931,35.07147228
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788539,35.07132149
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.97894,35.07119324
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9790333,35.07107608
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9792233,35.0708999
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9791804,35.07107331
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9791732,35.07119707
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9792011,35.0713833
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9792728,35.07152474
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9793702,35.07166519
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.979639,35.07199405
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9797881,35.07213001
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9802489,35.07255616
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9806696,35.0728673
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9808158,35.07297125
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.981258,35.07331339
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9813957,35.07341401
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9817892,35.07382465
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9821454,35.07414577
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9789788,35.0840274
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9790461,35.08396193
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9793175,35.08375908
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9795613,35.08365862
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9796641,35.08361195
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9797142,35.08348811
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9798092,35.08299896
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9799187,35.08250882
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9800636,35.08212324
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9801916,35.08167159
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9802944,35.08141994
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9804419,35.08124339
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9805514,35.08111244
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9806621,35.08085674
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9807834,35.08042239
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9809693,35.07981247
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9810932,35.07963997
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9813475,35.07924521
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9814581,35.07916204
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9816031,35.07904029
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.981727,35.07876223
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9819287,35.07832483
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9820868,35.07816243
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821579,35.07808087
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9822008,35.07800615
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9822539,35.07789124
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9822868,35.07776082
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9823472,35.07763599
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9823837,35.07756361
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9824741,35.07744645
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9825272,35.07735803
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9825716,35.07724528
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9825868,35.07707456
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9826126,35.07687897
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.982614,35.07678054
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9825833,35.07663749
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9825288,35.07648488
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9824213,35.0763346
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9822715,35.07618703
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821439,35.07606875
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9820378,35.07594831
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9819884,35.07584158
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9819769,35.0757344
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.982,35.07563715
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9820659,35.0755244
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821297,35.07541553
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821743,35.07526086
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9822159,35.07509393
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9822353,35.07498838
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.982221,35.07481928
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821608,35.07463801
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9820985,35.07445619
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9820799,35.07433685
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821,35.07425285
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821379,35.07418714
2246,21000000000,2101,501,3,0,0,1,1211.249292,0,0.011339908,126.9821454,35.07414577
2247,21000000000,2101,501,4,0,0,1,0.005669896,0,5.12E-08,126.9789788,35.08402745
2247,21000000000,2101,501,4,0,0,1,0.005669896,0,5.12E-08,126.9789788,35.0840274
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9795295,35.0917966
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9793773,35.09171616
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9792536,35.09163898
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9791191,35.09150709
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9790046,35.09132743
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9788623,35.09118733
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787228,35.09094979
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786016,35.09073461
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9785687,35.09057326
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9785899,35.09050431
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9785424,35.09042715
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9785582,35.09034801
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786162,35.09027699
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786294,35.09016324
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.97859,35.08988517
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786282,35.08978729
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.978594,35.08961674
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9785045,35.08937525
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9782911,35.08913157
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.978141,35.08893063
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.978112,35.08884337
